TVAL - CMリスト
期間:,2025年09月01日(月)~2025年12月31日(水)
時間帯:,05:00~28:59
エリア:,関東
期間内最新サンプルサイズ:,"個人全体 12,025,F1 1,028,F2 1,345,F3- 1,974,M1 850,M2 1,305,M3- 1,952,世帯 5,041"
企業名:,"キリンビール,サントリーホールディングス"
商品／ブランド名:,"キリングッドエール,ザ・プレミアム・モルツ"
CM秒数:,全CM
CM種別:,全CM
放送局:,"日本テレビ,テレビ朝日,TBS,テレビ東京,フジテレビ"
番組名:,指定なし
商品カテゴリ:,指定なし
視聴種別:,リアルタイム
利用データ:,確報
15秒換算:,する
単位:,%
レポート作成日時:,2026年05月12日(火) 17:13
データ提供元:,"Switch Media, Inc."

日付,曜日,祝日,開始時刻,エリア,集計対象都道府県,放送局,放送系列,番組,CM種別,企業,商品／ブランド,CM商品ID,CM商品名,商品カテゴリID,商品大カテゴリ,商品中カテゴリ,商品小カテゴリ,素材ID,秒数,CM内容,出演者,BGM,備考,視聴率：個人全体,視聴率：F1,視聴率：F2,視聴率：F3-,視聴率：M1,視聴率：M2,視聴率：M3-,視聴率：世帯
2025/12/19,金,,25:58:30,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,バズリズム０２,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.711799,1.276157,0.832762,0.765916,0.821229,0.859276,1.129736,1.213652
2025/12/19,金,,25:38:50,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,界隈×界隈そっちナニ流行ってる？,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.540085,0.221249,0.488347,0.861337,0.506275,0.47428,0.678371,0.795645
2025/12/19,金,,24:25:44,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,ｎｅｗｓｚｅｒｏ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.283024,2.635483,2.770159,3.319482,1.513985,2.493745,2.783863,3.503991
2025/12/19,金,,22:53:46,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,週末はウマでしょ！,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.133742,2.205563,2.216821,3.664662,1.086849,1.429641,2.69833,3.255874
2025/12/19,金,,20:47:53,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,沸騰ワード１０,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,5.689438,5.54101,7.09442,7.283893,4.244565,3.808421,5.116175,8.27841
2025/12/19,金,,20:47:13,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,それＳｎｏｗＭａｎにやらせて下さい,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,4.8382,4.863457,7.810118,6.276036,2.814995,4.100906,3.645693,6.440095
2025/12/19,金,,18:48:14,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,スーパーＪチャンネル,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,3.178978,1.65376,1.441854,3.078368,1.108729,0.981769,2.598167,4.832341
2025/12/19,金,,18:11:21,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,Ｎスタ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.935427,1.078413,1.687968,3.350695,1.125138,1.193878,2.156568,4.835671
2025/12/19,金,,18:02:35,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,スーパーＪチャンネル,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.503411,1.417414,1.551804,2.273743,1.456748,1.039936,1.836034,3.977784
2025/12/18,木,,26:12:24,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,コスメティック・プレイラバー,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.237309,0.122099,0.260947,0.245798,0,0.163065,0.250989,0.412126
2025/12/18,木,,25:30:16,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,ガイド,SB,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.599498,0.77783,0.987355,0.707642,0.338167,0.866485,0.836406,0.921341
2025/12/18,木,,25:12:58,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,≠ＭＥのＤＯＹＯＵノイミー？,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.670568,0.655731,1.068958,0.808802,0.587931,1.2274,0.940613,1.101676
2025/12/18,木,,25:04:02,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,地獄は善意で出来ている,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.679225,0.602198,0.799086,1.154443,0.230573,0.624138,0.948954,0.989703
2025/12/18,木,,24:11:51,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,じっくり聞いタロウ～スター近況（秘）報告～,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.651567,0.434583,0.434931,0.847743,0.358338,0.712197,0.81831,1.051667
2025/12/18,木,,24:09:51,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,ＦＮＮＬｉｖｅＮｅｗｓα,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,1.392781,1.504878,0.825138,2.211922,0.835809,1.151286,2.272479,2.231649
2025/12/18,木,,23:54:18,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,ｎｅｗｓｚｅｒｏ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,3.024548,3.170117,2.621317,4.656446,2.73309,3.120562,3.929109,4.607379
2025/12/18,木,,22:39:24,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,＜木曜劇場＞小さい頃は、神様がいて,TIME,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147228,30,左上ロゴ、女性、料理運ぶ、食卓、男女3人、ツリーと夜景、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品、会話続く,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,3.935316,3.549729,3.305965,6.452464,2.696371,1.701528,3.038599,6.021581
2025/12/18,木,,21:53:46,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,この世界は１ダフル,SB,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,1.673618,1.394272,2.20695,2.879845,1.506681,1.225417,1.421587,2.573214
2025/12/18,木,,21:46:34,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,この世界は１ダフル,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,1.8156,1.54401,2.263403,3.443707,1.739174,1.267535,1.833782,2.834534
2025/12/18,木,,21:29:21,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,ナゼそこ？＋,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,1.872807,1.057117,0.944988,2.379808,0.600578,1.204514,2.083996,2.777646
2025/12/18,木,,20:38:42,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,ＴＨＥ突破ファイル,TIME,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147228,30,左上ロゴ、女性、料理運ぶ、食卓、男女3人、ツリーと夜景、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品、会話続く,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,14.128191,10.184106,16.665806,18.75048,8.785908,10.258317,13.84736,20.004071
2025/12/18,木,,18:25:58,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,スーパーＪチャンネル,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.598606,0.954912,1.598801,2.77789,1.525889,1.494395,2.062481,4.296268
2025/12/18,木,,18:10:19,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,Ｎスタ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.929887,0.620147,2.394405,3.64993,1.054843,1.321573,2.614799,4.723118
2025/12/18,木,,18:02:39,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,スーパーＪチャンネル,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.414627,0.698637,1.218845,1.99231,0.684215,0.779106,1.743421,4.118681
2025/12/17,水,,26:35:23,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,ムビきゅん,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.218611,0,0.173965,0.549277,0.344879,0.20456,0.413254,0.427884
2025/12/17,水,,26:32:15,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,＜木曜劇場＞小さい頃は、神様がいて,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.158851,0.122099,0.147044,0.354843,0.115286,0.065826,0.310932,0.265158
2025/12/17,水,,26:07:31,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,番宣番組,SB,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.327026,0.465447,0.321009,0.795815,0.577197,0.367625,0.505292,0.611269
2025/12/17,水,,25:42:32,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,ふるさとの未来,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.52203,0.546369,0.601531,0.990423,0.725134,0.526899,0.651325,0.794224
2025/12/17,水,,25:33:16,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,ガイド,SB,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.584379,0.997261,0.47027,1.137122,0.844763,0.588517,0.46271,0.873707
2025/12/17,水,,25:11:18,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,セラピーゲーム,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.762982,1.063887,0.471719,1.39137,1.303807,0.652245,0.81062,1.09953
2025/12/17,水,,23:51:31,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,あちこちオードリー,SB,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.740224,0.995374,0.303929,1.015904,0.80679,1.214939,0.926283,1.334209
2025/12/17,水,,22:52:17,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,もしもこの世が舞台なら、楽屋はどこにあるのだろう,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,1.570433,1.013703,1.084592,2.618201,1.567186,0.937449,1.371231,2.421998
2025/12/17,水,,20:48:17,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,世界を救う！ワンにゃフル物語～柴と三毛と亀梨くん～,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,1.96694,0.63939,1.771452,2.265944,0.937553,0.740458,1.699402,3.000854
2025/12/17,水,,20:47:41,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,朝メシまで。,TIME,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147228,30,左上ロゴ、女性、料理運ぶ、食卓、男女3人、ツリーと夜景、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品、会話続く,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,10.687781,11.544808,8.628528,13.923509,6.944103,7.351579,11.551148,15.254081
2025/12/17,水,,20:37:56,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,世界を救う！ワンにゃフル物語～柴と三毛と亀梨くん～,TIME,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147228,30,左上ロゴ、女性、料理運ぶ、食卓、男女3人、ツリーと夜景、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品、会話続く,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,4.106593,0.872738,3.716869,5.281096,2.15789,1.489638,3.597299,6.140083
2025/12/17,水,,20:36:26,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,世界を救う！ワンにゃフル物語～柴と三毛と亀梨くん～,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.063661,0.436369,1.771452,2.593042,0.937553,0.671091,1.70019,3.074588
2025/12/17,水,,19:10:10,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,奇跡体験！アンビリバボー,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.412529,0.969202,2.71308,3.284572,1.309824,0.833734,2.104474,3.903886
2025/12/17,水,,18:25:46,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,スーパーＪチャンネル,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.641233,1.352788,1.891742,2.836725,0.742748,1.121567,1.787723,4.147485
2025/12/17,水,,18:16:00,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,ＬｉｖｅＮｅｗｓイット！,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,1.995421,0.957103,1.821162,2.36378,0.871494,1.547513,1.574607,3.193985
2025/12/16,火,,26:14:32,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,矢野くんの普通の日々,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.324256,0.190284,0.283134,0.615016,0.115286,0.572435,0.837635,0.708201
2025/12/16,火,,26:04:47,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,ＥＸＩＴＶ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.381005,0.244197,0.367505,0.45364,0.131612,0.42966,0.414186,0.628923
2025/12/16,火,,26:00:50,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,矢野くんの普通の日々,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.446456,0.480099,0.370116,0.705605,0.233439,0.669674,0.886651,0.89515
